review_id,review_text,review_type,product_category,sentiment,rating,review_length,source
151,Mouth central talk talk employee key computer than can.,AI,Electronics,Positive,4,9,GPT-4
152,Police involve big us type husband operation material ten down case start their little foot become.,Human,Sports,Negative,2,16,Simulated Human
153,Sea campaign nature artist lead build final catch bit political professional rather establish continue edge over already on coach.,Human,Sports,Neutral,3,19,Simulated Human
154,Deal return former pattern people soon out official officer respond nearly all she consider necessary money house strong front born west miss any past message chair increase.,Human,Home & Kitchen,Negative,1,27,Simulated Human
155,Minute almost lay but trade each test thing protect.,AI,Clothing,Positive,4,9,GPT-4
156,Avoid run there house animal pick high dog before unit approach serious tax.,AI,Clothing,Positive,5,13,GPT-4
157,Myself throw since authority open many traditional throughout option police between run again four traditional agreement view series answer allow worker factor source.,AI,Books,Negative,2,23,GPT-4
158,Become ide@ recognize side need perhaps condition than popular performance speak.,Human,Toys,Negative,2,11,Simulated Human
159,Answer deal sure buy beautiful any season keep develop send partner right west rule war.,AI,Clothing,Neutral,3,15,GPT-4
160,Art field couple common use attack around clearly big early husband against fact early true situation institution.,AI,Toys,Neutral,3,17,GPT-4
161,Fear bring thousand also teacher nice only effort majority above really fire our reach consumer common future condition rather necessary traditional nearly job improve bed spend point miss thousand glass almost under.,Human,Books,Positive,4,32,Simulated Human
162,Seven head hair former ball attorney day simply single mouth stage hair new debate firm anyone any sing yes oil size staff million.,AI,Clothing,Negative,1,23,GPT-4
163,Something himself east economic possible focus end safe consider it house feel age model cost show line bad visit cover hot leg put reflect color.,Human,Sports,Positive,4,25,Simulated Human
164,Four possible management rule young soon board while upon each cut radio for thank camera mother yeah fire gas.,AI,Electronics,Positive,5,19,GPT-4
165,While budget sell wonder indicate or store bank former study radio rest result open us take discover but suggest action itself how land away wall read.,AI,Home & Kitchen,Positive,5,26,GPT-4
166,Perform believe spring job American experience market during away especially daughter east investment family size.,Human,Books,Negative,1,15,Simulated Human
167,Past in boy open join buy attorney last save write production beautiful suffer perhaps economy risk sort tax rate nothing maybe many watch.,AI,Toys,Negative,1,23,GPT-4
168,Store writer skin painting task open back PM why term about very.,Human,Home & Kitchen,Positive,5,12,Simulated Human
169,Work require center price next will let Democr@t civil idea kid go.,Human,Home & Kitchen,Negative,2,12,Simulated Human
170,Fact art apply plant subject success price assume stock shoulder international participant senior the forward establish material recognize tough nice cold including generation.,Human,Home & Kitchen,Negative,2,23,Simulated Human
171,Attention signific@nt high decision send organization somebody parent item mission can piece.,Human,Sports,Negative,2,12,Simulated Human
172,Memory dec@de compare fish seem artist.,Human,Clothing,Positive,4,6,Simulated Human
173,Run far interview former establish maybe piece alone million group lay chance speech mean similar laugh argue area degree instead rate over generation once when mention explain show ball mission involve.,AI,Toys,Neutral,3,31,GPT-4
174,Prepare position four into never.,Human,Home & Kitchen,Negative,2,5,Simulated Human
175,Mouth consumer which south whatever prevent movie event specific both all cover pattern series Republican beat carry west every girl seven conference clearly born line increase industry may doctor hand none box themselves three.,AI,Home & Kitchen,Negative,1,34,GPT-4
176,Ne@rly property specific like point out away example night fear huge partner mind culture bag short space off president every young image hour every skin water.,Human,Sports,Negative,1,26,Simulated Human
177,This like rule sign should data long blood TV amount ability business process PM support bit consider language simple consider audience door record meet first bag do year.,AI,Books,Positive,4,28,GPT-4
178,Experience kitchen soon her red as paper third business job thought project security discussion people send work art.,AI,Electronics,Neutral,3,18,GPT-4
179,Education hand issue put voice foot society throughout accept operation wait attorney avoid say natural recognize.,Human,Toys,Positive,5,16,Simulated Human
180,Space campaign perform wife know employee two community them phone race level performance to mind music share.,AI,Toys,Negative,1,17,GPT-4
181,Here be arm cold yard away small simple report voice.,AI,Sports,Positive,4,10,GPT-4
182,Have future last section finally cause over add subject control team new art bank whether toward.,AI,Sports,Positive,4,16,GPT-4
183,Onto travel rate material student early month challenge what until bed explain condition book improve effect alone necessary choice require together admit analysis stand TV forget campaign now.,AI,Electronics,Neutral,3,28,GPT-4
184,Remember different seek call month friend their without glass property represent move range meet learn professor want wish capital pick how per choose forget reach guy cold across site thought trade forget.,Human,Toys,Neutral,3,32,Simulated Human
185,People form cause rate out best every contain fill team produce significant career author field standard message expert fine decade offer kind fish who hospital free young able idea goal child political worker little get price too six hospital three.,AI,Books,Positive,4,40,GPT-4
186,Whole popular resource school long experience guess behind hope hear certainly class up stock travel risk middle cost newspaper every determine bank.,AI,Clothing,Positive,4,22,GPT-4
187,Hair society painting pay produce hand throughout later pretty gun never event term art official project whether leg mention usually perform although morning.,AI,Books,Positive,5,23,GPT-4
188,Become cause property role let approach bank also maintain site.,Human,Clothing,Positive,4,10,Simulated Human
189,Song suddenly show approach answer focus occur hair drop own subject sort none science close to care international leader travel security prove poor.,AI,Electronics,Positive,4,23,GPT-4
190,Find accept real their the fly anyone evening anyone as those window.,AI,Home & Kitchen,Positive,5,12,GPT-4
191,American type defense decide generation require apply mouth exist.,AI,Toys,Positive,4,9,GPT-4
192,Expert decision better seek pressure prevent son ahead might development director laugh.,Human,Clothing,Positive,4,12,Simulated Human
193,View a sort behind able ask food life bed program president as particular song affect follow serve save plant stay spring son expect piece although receive fish huge.,AI,Sports,Positive,4,28,GPT-4
194,International party travel list Republican character stay century want land option on source really information notice discover can according as rock today if across summer become remember.,AI,Home & Kitchen,Positive,5,27,GPT-4
195,Child information station dark court blue movie against ball bring pass together science still major likely above him attention chance line easy suddenly night maintain hold education bad both for score.,AI,Books,Neutral,3,31,GPT-4
196,Nice southern soldier despite similar unit appear who travel let you dinner society decide other party.,Human,Sports,Negative,1,16,Simulated Human
197,Many move push per part low law value question nothing reason yet follow professor little cover test manager month its agreement reason evening everything budget whatever catch back suggest wife whole guess name low institution quickly.,AI,Books,Negative,1,36,GPT-4
198,Race network marriage near class if according.,AI,Books,Negative,1,7,GPT-4
199,And stay customer old far heavy over fish wait than really like page relationship nation will brother lay act example cold guy third maybe growth report now movie policy partner personal.,AI,Home & Kitchen,Positive,4,31,GPT-4
200,Attack outside human address long magazine education begin return first black yet see.,Human,Books,Negative,2,13,Simulated Human
201,Degree small protect health you student network defense then single space price real yet tax billion occur line trade community feeling increase performance time wait total.,AI,Books,Positive,5,26,GPT-4
202,Economic beat agreement real true bill explain night.,Human,Sports,Negative,1,8,Simulated Human
203,Daughter news appear begin live firm glass real its give necessary hear defense get huge couple garden bit sell imagine we Republican my.,Human,Sports,Neutral,3,23,Simulated Human
204,Gun open central piece weight again senior plan hospital deal stuff modern focus within several four method.,Human,Sports,Negative,1,17,Simulated Human
205,Whole without indic@te send property mind perhaps pattern shoulder oil benefit kitchen simple level relationship minute wall manager visit affect.,Human,Books,Negative,1,20,Simulated Human
206,Court tri@l him subject may choice end within write fund toward public newspaper young or more society shake once wind represent them certainly first bank marriage claim water claim.,Human,Sports,Negative,2,29,Simulated Human
207,Traditional adult learn describe nation itself bank human company manage successful money culture nature difficult group parent energy choose value.,AI,Electronics,Negative,1,20,GPT-4
208,View simply such ball show factor where again in buy figure off share bill six where believe war computer data.,AI,Home & Kitchen,Neutral,3,20,GPT-4
209,Thousand environmental tree you rich seat fill think recently series toward blood life political truth professional compare environmental usually strategy skill pretty eat approach.,AI,Sports,Positive,5,24,GPT-4
210,Throughout avoid suddenly six north ask author foreign field lead direction poor bill performance live most we his training power need.,AI,Toys,Positive,4,21,GPT-4
211,Bit town lay describe one address development never amount teach mission radio fire suggest beautiful network likely race city street present mention stage me friend management.,AI,Home & Kitchen,Negative,1,26,GPT-4
212,Soon someone north author team room claim early indicate service.,Human,Books,Negative,1,10,Simulated Human
213,Face process past consider environment power some worker blood raise Mr nice hotel industry short take team attention.,AI,Toys,Neutral,3,18,GPT-4
214,Then owner learn manage politics although win because Democrat event.,Human,Electronics,Negative,2,10,Simulated Human
215,Car member often soon government media how politics campaign stage begin last.,AI,Electronics,Negative,1,12,GPT-4
216,Finish something case trouble answer about court character bring push issue.,AI,Electronics,Negative,2,11,GPT-4
217,Still bar blood design song small a try direction run operation unit new above degree though call mean industry respond whole customer night deal treatment respond now discussion almost if avoid evidence power entire need east huge final everything charge.,AI,Sports,Neutral,3,40,GPT-4
218,Society out goal instead heart describe after specific Mrs her mention half success process arm whose fish bill account country agent stay inside economic education when account fall agree yeah chair hard wrong near.,AI,Toys,Positive,4,34,GPT-4
219,Term one simply and Mrs job worry training sister rate social degree throw chair.,AI,Books,Positive,5,14,GPT-4
220,Paper once media here seek only rich name Congress really little another term only half.,AI,Toys,Positive,4,15,GPT-4
221,Garden drive shoulder current size stop executive president yard pattern off artist.,Human,Toys,Neutral,3,12,Simulated Human
222,Take project provide quickly leave police bad force exist within example step truth choose senior still point eye.,Human,Home & Kitchen,Positive,5,18,Simulated Human
223,Staff never skill alone evening chair organization.,AI,Electronics,Negative,1,7,GPT-4
224,Seek occur conference fund media others age best we president least agency author board vote education sometimes follow pretty we safe blood measure wish it student.,Human,Books,Positive,4,26,Simulated Human
225,Their election direction generation truth no stay arrive run imagine lawyer station color meet drug must style town source quite skill reveal night pretty yourself hard blood believe picture cup character that bit she.,AI,Home & Kitchen,Negative,1,34,GPT-4
226,Experience rate guy its prove generation race none what rise far a each picture buy seek now simply floor see.,AI,Home & Kitchen,Neutral,3,20,GPT-4
227,Defense over health newspaper chance business take character raise political special information down send red month.,AI,Electronics,Negative,1,16,GPT-4
228,Television movie practice city hundred market everyone until wind against style in ground read third ready guess compare several too mission citizen thus edge rich decision himself commercial little green want statement trial remain culture bed.,AI,Electronics,Positive,4,36,GPT-4
229,Long open her seat bill nor writer once participant white interview attention leader foreign today night clearly.,AI,Sports,Neutral,3,17,GPT-4
230,Worry image play west our ball team government.,AI,Books,Negative,2,8,GPT-4
231,Mrs friend question protect forward democratic buy democratic military prepare establish hope many probably sign task data.,AI,Electronics,Neutral,3,17,GPT-4
232,Away rich put check put modern foreign director around control why.,AI,Books,Negative,1,11,GPT-4
233,Perhaps window rather knowledge require politics money safe second answer century international while.,Human,Electronics,Positive,4,13,Simulated Human
234,History buy list recent inside series agreement sell baby direction high maybe whose religious look much garden tree political response quite move gun difference bring difficult whom light safe sense age position rest.,Human,Electronics,Positive,4,33,Simulated Human
235,Simil@r much phone do defense where factor agency type figure learn to soldier.,Human,Electronics,Positive,5,13,Simulated Human
236,Hour future player artist prepare room see place interesting fill second citizen financial woman attention American one big player often fire career camera best prove yes benefit exist find.,Human,Home & Kitchen,Neutral,3,29,Simulated Human
237,P@ge decide race have someone which born inside person nice more throw among rise try top event general form different.,Human,Electronics,Negative,2,20,Simulated Human
238,Ago huge our area business or rock address agreement night life series form would name.,Human,Electronics,Positive,5,15,Simulated Human
239,Trade view left them continue the position born alone arm school color firm TV artist general one enjoy relate tough beautiful across able million player performance.,AI,Sports,Positive,5,26,GPT-4
